element_type,xG_per_90,xA_per_90,bps_per_90,form,was_home,FDR,last_minutes_5_match,ict_index,Defensive_Contribution_per_90,xGC_per_90,Saves_per_90,total_points,xG_per_90_L5M,ict_index_per_90,Opponent_xGC_per_90,xG_match,xA_per_90_L5M,is_setpiece_taker,xA_match
3,0.14,0.02,50.0,4.0,1,3,63.2,7.7,5.0,0.28,0.0,6,0.2449,15.4,1.5,0.07,0.094,0,0.01
3,0.0468,0.1987,15.1948,3.0,0,3,64.8,5.2,1.5195,1.5662,0.0,2,0.2194,6.0779,1.5,0.04,0.1278,0,0.17
3,0.1246,0.5262,23.5385,3.6667,1,2,59.8,9.3,2.3538,0.0415,0.0,3,0.1023,12.8769,1.5,0.09,0.2197,0,0.38
3,0.14,0.22,11.0,2.3333,0,4,60.0,12.0,1.1,1.09,0.0,2,0.102,12.0,1.5,0.14,0.237,0,0.22
3,0.092,0.2148,10.2273,2.3333,1,4,73.0,9.9,1.0227,0.3068,0.0,2,0.106,10.125,1.5,0.09,0.2441,0,0.21
3,0.0808,0.0692,2.3077,2.0,0,2,79.6,3.3,0.2308,1.2808,0.0,2,0.0972,3.8077,1.5,0.07,0.2352,1,0.06
3,0.1519,0.0584,2.3377,2.3333,1,2,79.6,3.2,0.2338,0.6779,0.0,3,0.1176,3.7403,1.5,0.13,0.208,0,0.05
3,0.3286,0.0571,31.4286,4.0,0,3,79.2,8.3,3.1429,0.6857,0.0,7,0.15,11.8571,1.5,0.23,0.1318,0,0.04
3,0.0913,0.1304,1.3043,4.0,0,3,75.0,4.0,0.1304,0.5348,0.0,2,0.1416,5.2174,1.5,0.07,0.1104,0,0.1
3,0.2667,0.8111,20.0,4.0,1,3,73.6,12.4,2.0,0.0889,0.0,3,0.181,13.7778,1.5,0.24,0.2397,1,0.73
3,0.1881,0.0403,4.0299,2.3333,0,3,71.4,2.4,0.403,0.591,0.0,2,0.2042,3.2239,1.5,0.14,0.2395,0,0.03
3,0.1143,0.4143,10.0,2.3333,1,3,68.6,4.4,1.0,0.8571,0.0,2,0.1994,6.2857,1.5,0.08,0.3122,0,0.29
3,0.4091,0.0409,24.5455,3.0,0,3,69.2,5.2,2.4545,1.4727,0.0,5,0.2159,7.0909,1.5,0.3,0.3069,0,0.03
3,3.1714,0.1286,188.5714,7.0,1,4,59.6,12.1,18.8571,0.2143,0.0,14,0.453,51.8571,1.5,0.74,0.3352,0,0.03
3,0.0234,0.0468,9.3506,7.3333,0,4,58.8,3.3,0.9351,0.1052,0.0,3,0.3918,3.8571,1.5,0.02,0.1286,1,0.04
3,1.0726,0.2342,40.6849,9.0,1,3,60.0,8.4,4.0685,0.4438,0.0,10,0.603,10.3562,1.5,0.87,0.174,0,0.19
3,0.1539,0.2842,8.2895,5.3333,0,4,62.6,5.6,0.8289,0.0947,0.0,3,0.5923,6.6316,1.5,0.13,0.1524,0,0.24
